============================================================
[repair-train 1/5] old_shard=9 task=task_elections model=Qwen/Qwen3-32B
  MAX_CONC=32 BATCH_SIZE=32
============================================================
[build_train_data] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/data/task_elections/Qwen/Qwen3-32B/train_rft.json (3006 rows)
[build_train_data] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/data/task_elections/Qwen/Qwen3-32B/train_tfb.json (6012 rows)
[train] epoch=0 step=80/188 loss=0.2739 lr=1.37e-04 elapsed=267.5s
[train] epoch=0 step=81/188 loss=0.2917 lr=1.35e-04 elapsed=270.4s
[train] epoch=0 step=82/188 loss=0.3320 lr=1.34e-04 elapsed=273.5s
[train] epoch=0 step=83/188 loss=0.3016 lr=1.32e-04 elapsed=276.5s
[train] epoch=0 step=84/188 loss=0.2977 lr=1.31e-04 elapsed=279.5s
[train] epoch=0 step=85/188 loss=0.2892 lr=1.29e-04 elapsed=283.3s
[train] epoch=0 step=86/188 loss=0.2869 lr=1.28e-04 elapsed=287.0s
[train] epoch=0 step=87/188 loss=0.2893 lr=1.26e-04 elapsed=290.3s
[train] epoch=0 step=88/188 loss=0.3028 lr=1.25e-04 elapsed=294.0s
[train] epoch=0 step=89/188 loss=0.3426 lr=1.23e-04 elapsed=297.0s
[train] epoch=0 step=90/188 loss=0.2621 lr=1.22e-04 elapsed=300.0s
[train] epoch=0 step=91/188 loss=0.2679 lr=1.20e-04 elapsed=303.6s
[train] epoch=0 step=92/188 loss=0.2878 lr=1.18e-04 elapsed=306.5s
[train] epoch=0 step=93/188 loss=0.2629 lr=1.17e-04 elapsed=309.4s
[train] epoch=0 step=94/188 loss=0.3138 lr=1.15e-04 elapsed=312.8s
[train] epoch=0 step=95/188 loss=0.2417 lr=1.14e-04 elapsed=315.9s
[train] epoch=0 step=96/188 loss=0.3347 lr=1.12e-04 elapsed=319.1s
[train] epoch=0 step=97/188 loss=0.2741 lr=1.11e-04 elapsed=322.0s
[train] epoch=0 step=98/188 loss=0.3417 lr=1.09e-04 elapsed=326.1s
[train] epoch=0 step=99/188 loss=0.2625 lr=1.08e-04 elapsed=329.4s
[train] epoch=0 step=100/188 loss=0.3094 lr=1.06e-04 elapsed=333.2s
[train] epoch=0 step=101/188 loss=0.2955 lr=1.05e-04 elapsed=336.4s
[train] epoch=0 step=102/188 loss=0.2961 lr=1.03e-04 elapsed=339.5s
[train] epoch=0 step=103/188 loss=0.2443 lr=1.02e-04 elapsed=344.1s
[train] epoch=0 step=104/188 loss=0.2617 lr=1.00e-04 elapsed=347.6s
[train] epoch=0 step=105/188 loss=0.2787 lr=9.84e-05 elapsed=350.6s
[train] epoch=0 step=106/188 loss=0.2501 lr=9.69e-05 elapsed=354.5s
[train] epoch=0 step=107/188 loss=0.2343 lr=9.54e-05 elapsed=357.4s
[train] epoch=0 step=108/188 loss=0.2549 lr=9.39e-05 elapsed=360.4s
[train] epoch=0 step=109/188 loss=0.2252 lr=9.23e-05 elapsed=363.6s
[train] epoch=0 step=110/188 loss=0.2461 lr=9.08e-05 elapsed=366.5s
[train] epoch=0 step=111/188 loss=0.2892 lr=8.93e-05 elapsed=369.9s
[train] epoch=0 step=112/188 loss=0.2558 lr=8.78e-05 elapsed=373.6s
[train] epoch=0 step=113/188 loss=0.3015 lr=8.63e-05 elapsed=376.8s
[train] epoch=0 step=114/188 loss=0.2453 lr=8.48e-05 elapsed=380.2s
[train] epoch=0 step=115/188 loss=0.2879 lr=8.34e-05 elapsed=384.0s
[train] epoch=0 step=116/188 loss=0.2965 lr=8.19e-05 elapsed=387.0s
[train] epoch=0 step=117/188 loss=0.2258 lr=8.04e-05 elapsed=389.8s
[train] epoch=0 step=118/188 loss=0.2347 lr=7.90e-05 elapsed=393.3s
[train] epoch=0 step=119/188 loss=0.3186 lr=7.75e-05 elapsed=396.1s
[train] epoch=0 step=120/188 loss=0.2960 lr=7.61e-05 elapsed=399.1s
[train] epoch=0 step=121/188 loss=0.2541 lr=7.47e-05 elapsed=415.9s
[train] epoch=0 step=122/188 loss=0.2075 lr=7.33e-05 elapsed=446.3s
