============================================================
[repair-train 4/5] old_shard=14 task=task_sm model=openai/gpt-oss-20b
  MAX_CONC=32 BATCH_SIZE=32
============================================================
[build_train_data] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/data/task_sm/openai/gpt-oss-20b/train_rft.json (3069 rows)
[build_train_data] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/data/task_sm/openai/gpt-oss-20b/train_tfb.json (6138 rows)
[train] epoch=0 step=121/192 loss=0.3785 lr=7.82e-05 elapsed=473.1s
[train] epoch=0 step=122/192 loss=0.3582 lr=7.68e-05 elapsed=476.7s
[train] epoch=0 step=123/192 loss=0.3188 lr=7.54e-05 elapsed=480.1s
[train] epoch=0 step=124/192 loss=0.3306 lr=7.40e-05 elapsed=483.9s
[train] epoch=0 step=125/192 loss=0.3265 lr=7.26e-05 elapsed=487.0s
[train] epoch=0 step=126/192 loss=0.3359 lr=7.12e-05 elapsed=490.2s
[train] epoch=0 step=127/192 loss=0.3586 lr=6.99e-05 elapsed=493.9s
[train] epoch=0 step=128/192 loss=0.3403 lr=6.85e-05 elapsed=497.3s
[train] epoch=0 step=129/192 loss=0.3720 lr=6.72e-05 elapsed=500.2s
[train] epoch=0 step=130/192 loss=0.3239 lr=6.59e-05 elapsed=504.5s
[train] epoch=0 step=131/192 loss=0.3372 lr=6.46e-05 elapsed=507.8s
[train] epoch=0 step=132/192 loss=0.3101 lr=6.33e-05 elapsed=512.7s
[train] epoch=0 step=133/192 loss=0.3536 lr=6.20e-05 elapsed=516.1s
[train] epoch=0 step=134/192 loss=0.3720 lr=6.07e-05 elapsed=519.5s
[train] epoch=0 step=135/192 loss=0.3790 lr=5.95e-05 elapsed=522.7s
[train] epoch=0 step=136/192 loss=0.3134 lr=5.82e-05 elapsed=526.0s
[train] epoch=0 step=137/192 loss=0.3691 lr=5.70e-05 elapsed=529.3s
[train] epoch=0 step=138/192 loss=0.3642 lr=5.58e-05 elapsed=533.5s
[train] epoch=0 step=139/192 loss=0.3450 lr=5.46e-05 elapsed=537.1s
[train] epoch=0 step=140/192 loss=0.3140 lr=5.34e-05 elapsed=540.8s
[train] epoch=0 step=141/192 loss=0.3342 lr=5.22e-05 elapsed=544.1s
[train] epoch=0 step=142/192 loss=0.3022 lr=5.11e-05 elapsed=547.5s
[train] epoch=0 step=143/192 loss=0.3540 lr=4.99e-05 elapsed=550.7s
[train] epoch=0 step=144/192 loss=0.3362 lr=4.88e-05 elapsed=553.3s
[train] epoch=0 step=145/192 loss=0.3390 lr=4.77e-05 elapsed=556.3s
[train] epoch=0 step=146/192 loss=0.2712 lr=4.66e-05 elapsed=559.4s
[train] epoch=0 step=147/192 loss=0.3458 lr=4.56e-05 elapsed=563.5s
[train] epoch=0 step=148/192 loss=0.3197 lr=4.45e-05 elapsed=566.6s
[train] epoch=0 step=149/192 loss=0.3557 lr=4.35e-05 elapsed=570.0s
[train] epoch=0 step=150/192 loss=0.3003 lr=4.25e-05 elapsed=573.9s
[train] epoch=0 step=151/192 loss=0.3138 lr=4.15e-05 elapsed=577.3s
[train] epoch=0 step=152/192 loss=0.3397 lr=4.05e-05 elapsed=580.6s
[train] epoch=0 step=153/192 loss=0.4150 lr=3.96e-05 elapsed=584.3s
[train] epoch=0 step=154/192 loss=0.2876 lr=3.86e-05 elapsed=587.7s
[train] epoch=0 step=155/192 loss=0.3148 lr=3.77e-05 elapsed=591.0s
[train] epoch=0 step=156/192 loss=0.3228 lr=3.68e-05 elapsed=594.4s
[train] epoch=0 step=157/192 loss=0.3758 lr=3.60e-05 elapsed=597.2s
[train] epoch=0 step=158/192 loss=0.3466 lr=3.51e-05 elapsed=601.1s
[train] epoch=0 step=159/192 loss=0.3181 lr=3.43e-05 elapsed=605.0s
[train] epoch=0 step=160/192 loss=0.3426 lr=3.35e-05 elapsed=608.3s
[train] epoch=0 step=161/192 loss=0.3178 lr=3.27e-05 elapsed=611.4s
[train] epoch=0 step=162/192 loss=0.3402 lr=3.19e-05 elapsed=615.5s
[train] epoch=0 step=163/192 loss=0.3505 lr=3.12e-05 elapsed=628.9s
[train] epoch=0 step=164/192 loss=0.3034 lr=3.05e-05 elapsed=633.3s
[train] epoch=0 step=165/192 loss=0.2962 lr=2.98e-05 elapsed=636.7s
[train] epoch=0 step=166/192 loss=0.3712 lr=2.91e-05 elapsed=639.9s
[train] epoch=0 step=167/192 loss=0.3035 lr=2.85e-05 elapsed=644.6s
[train] epoch=0 step=168/192 loss=0.3344 lr=2.78e-05 elapsed=648.0s
[train] epoch=0 step=169/192 loss=0.3517 lr=2.72e-05 elapsed=652.2s
[train] epoch=0 step=170/192 loss=0.3551 lr=2.66e-05 elapsed=655.2s
[train] epoch=0 step=171/192 loss=0.3309 lr=2.61e-05 elapsed=658.5s
[train] epoch=0 step=172/192 loss=0.3415 lr=2.55e-05 elapsed=662.5s
[train] epoch=0 step=173/192 loss=0.3261 lr=2.50e-05 elapsed=666.5s
[train] epoch=0 step=174/192 loss=0.3037 lr=2.45e-05 elapsed=669.0s
[train] epoch=0 step=175/192 loss=0.2910 lr=2.41e-05 elapsed=672.2s
[train] epoch=0 step=176/192 loss=0.3748 lr=2.36e-05 elapsed=684.3s
[train] epoch=0 step=177/192 loss=0.2971 lr=2.32e-05 elapsed=687.9s
[train] epoch=0 step=178/192 loss=0.3134 lr=2.28e-05 elapsed=690.4s
[train] epoch=0 step=179/192 loss=0.3419 lr=2.25e-05 elapsed=693.4s
[train] epoch=0 step=180/192 loss=0.3769 lr=2.21e-05 elapsed=696.7s
[train] epoch=0 step=181/192 loss=0.3215 lr=2.18e-05 elapsed=699.0s
[train] epoch=0 step=182/192 loss=0.3346 lr=2.15e-05 elapsed=701.5s
[train] epoch=0 step=183/192 loss=0.3244 lr=2.13e-05 elapsed=704.3s
[train] epoch=0 step=184/192 loss=0.3412 lr=2.10e-05 elapsed=707.6s
[train] epoch=0 step=185/192 loss=0.2908 lr=2.08e-05 elapsed=710.7s
[train] epoch=0 step=186/192 loss=0.3027 lr=2.06e-05 elapsed=713.7s
[train] epoch=0 step=187/192 loss=0.4487 lr=2.05e-05 elapsed=716.8s
[train] epoch=0 step=188/192 loss=0.3056 lr=2.03e-05 elapsed=720.3s
[train] epoch=0 step=189/192 loss=0.3279 lr=2.02e-05 elapsed=724.6s
[train] epoch=0 step=190/192 loss=0.3790 lr=2.01e-05 elapsed=727.2s
[train] epoch=0 step=191/192 loss=0.3345 lr=2.01e-05 elapsed=738.8s
[train] epoch=0 step=192/192 loss=0.3159 lr=2.00e-05 elapsed=742.6s
[train] final checkpoint -> tinker://46947bc5-3dca-5ed2-81fc-9b38d5679082:train:1/sampler_weights/sft__task_sm__openai__gpt-oss-20b__tfb__final
